model,perturbation,latent_dim,cell_r2,cell_l2,cell_mmd,dataset_name,ood_attribute,test_ood_value
w2ot,tak_901,50,0.08733896,3.2379994,0.10558432,sciplex3-hvg-top1k_50,cell_type,MCF7
scgen,alvespimycin_hcl,50,0.16232242,3.3745337,0.14723453,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,alvespimycin_hcl,50,0.15437686,3.3295054,0.13713835,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,alvespimycin_hcl,50,0.15457444,3.4119518,0.17470025,sciplex3-hvg-top1k_50,cell_type,K562
scgen,alvespimycin_hcl,50,0.13135216,3.4435418,0.1281623,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,alvespimycin_hcl,50,0.0866065,3.4413867,0.11248075,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,alvespimycin_hcl,50,0.09766171,3.6465511,0.1476385,sciplex3-hvg-top1k_50,cell_type,K562
scgen,dacinostat,50,0.20719135,4.7509193,0.08372317,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,dacinostat,50,0.2279596,2.5499928,0.03484239,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,dacinostat,50,0.085437834,8.58005,0.14608425,sciplex3-hvg-top1k_50,cell_type,K562
scgen,belinostat,50,0.009243475,3.0515091,0.06197076,sciplex3-hvg-top1k_50,cell_type,MCF7
w1ot,belinostat,50,0.22676969,2.373516,0.04512905,sciplex3-hvg-top1k_50,cell_type,MCF7
w2ot,belinostat,50,0.003882549,3.549655,0.079932794,sciplex3-hvg-top1k_50,cell_type,MCF7
scgen,belinostat,50,0.49988526,3.8863525,0.071992055,sciplex3-hvg-top1k_50,cell_type,A549
w1ot,belinostat,50,0.49064648,3.742944,0.07220409,sciplex3-hvg-top1k_50,cell_type,A549
w2ot,belinostat,50,0.259289,4.8913774,0.07692931,sciplex3-hvg-top1k_50,cell_type,A549
scgen,tanespimycin,50,0.4483137,3.0570612,0.079143174,sciplex3-hvg-top1k_50,cell_type,A549
w1ot,tanespimycin,50,0.46730116,2.9502437,0.07921521,sciplex3-hvg-top1k_50,cell_type,A549
w2ot,tanespimycin,50,0.39221582,4.1789155,0.09304827,sciplex3-hvg-top1k_50,cell_type,A549
scgen,tanespimycin,50,0.5180909,2.1080692,0.10565775,sciplex3-hvg-top1k_50,cell_type,MCF7
w1ot,tanespimycin,50,0.61613,1.9805791,0.079990715,sciplex3-hvg-top1k_50,cell_type,MCF7
w2ot,tanespimycin,50,0.5387876,2.0038924,0.086525545,sciplex3-hvg-top1k_50,cell_type,MCF7
scgen,dacinostat,50,0.28233284,6.4063444,0.15807383,sciplex3-hvg-top1k_50,cell_type,A549
w1ot,dacinostat,50,0.21869755,2.2936256,0.06268344,sciplex3-hvg-top1k_50,cell_type,A549
w2ot,dacinostat,50,0.26871663,5.4940314,0.12569147,sciplex3-hvg-top1k_50,cell_type,A549
scgen,jnj_26854165,50,0.5713757,5.00637,0.076860234,sciplex3-hvg-top1k_50,cell_type,A549
w1ot,jnj_26854165,50,0.5726752,4.9630394,0.074613616,sciplex3-hvg-top1k_50,cell_type,A549
w2ot,jnj_26854165,50,0.5604489,5.198653,0.07767276,sciplex3-hvg-top1k_50,cell_type,A549
scgen,hesperadin,50,0.53972393,4.2808986,0.09002414,sciplex3-hvg-top1k_50,cell_type,A549
w1ot,hesperadin,50,0.58210814,4.0258117,0.0647533,sciplex3-hvg-top1k_50,cell_type,A549
w2ot,hesperadin,50,0.46293095,4.6829557,0.09544571,sciplex3-hvg-top1k_50,cell_type,A549
scgen,hesperadin,50,0.031705912,2.6798875,0.057755873,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,hesperadin,50,0.19300552,1.6223087,0.033251017,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,hesperadin,50,0.025306128,3.4192946,0.066819414,sciplex3-hvg-top1k_50,cell_type,K562
scgen,tak_901,50,0.8015998,2.6153972,0.061323766,sciplex3-hvg-top1k_50,cell_type,A549
w1ot,tak_901,50,0.80996346,2.5935807,0.06043832,sciplex3-hvg-top1k_50,cell_type,A549
w2ot,tak_901,50,0.78596413,2.7478986,0.060323574,sciplex3-hvg-top1k_50,cell_type,A549
scgen,hesperadin,50,0.12136979,2.0281315,0.043183383,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,hesperadin,50,0.11754261,2.045461,0.045894135,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,hesperadin,50,0.09207236,2.1514115,0.035509046,sciplex3-hvg-top1k_50,cell_type,K562
scgen,belinostat,50,0.26695657,2.7037697,0.055307493,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,belinostat,50,0.18841888,2.8987625,0.044571944,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,belinostat,50,5.119303e-08,6.15472,0.094909705,sciplex3-hvg-top1k_50,cell_type,K562
scgen,dacinostat,50,0.05058185,4.555211,0.09141983,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,dacinostat,50,0.04485243,2.9360666,0.04185133,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,dacinostat,50,0.017980892,9.346717,0.18377963,sciplex3-hvg-top1k_50,cell_type,K562
scgen,tak_901,50,0.24422246,2.4658306,0.073855564,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,tak_901,50,0.17527846,2.5895038,0.06832522,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,tak_901,50,0.1620962,2.64715,0.080414064,sciplex3-hvg-top1k_50,cell_type,K562
scgen,flavopiridol_hcl,50,0.35257843,2.404713,0.06478796,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,flavopiridol_hcl,50,0.08186443,3.2463927,0.05917627,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,flavopiridol_hcl,50,0.07126699,3.5490332,0.0947253,sciplex3-hvg-top1k_50,cell_type,K562
